JFK,John F Kennedy,New York,USA,40.6413,-73.7781
LAX,Los Angeles Intl,Los Angeles,USA,33.9416,-118.4085
SFO,San Francisco Intl,San Francisco,USA,37.6190,-122.3750
YYZ,Toronto Pearson,Toronto,Canada,43.6777,-79.6248
LHR,Heathrow,London,UK,51.4700,-0.4543
CDG,Charles de Gaulle,Paris,France,49.0097,2.5479
FRA,Frankfurt am Main,Frankfurt,Germany,50.0333,8.5706
DXB,Dubai Intl,Dubai,UAE,25.2532,55.3657
SIN,Changi,Singapore,Singapore,1.3644,103.9915
HND,Tokyo Haneda,Tokyo,Japan,35.5494,139.7798
HKG,Hong Kong Intl,Hong Kong,Hong Kong,22.3080,113.9185
SYD,Sydney Kingsford Smith,Sydney,Australia, -33.9461,151.1772
GRU,Guarulhos Intl,Sao Paulo,Brazil,-23.4356,-46.4731
JNB,OR Tambo Intl,Johannesburg,South Africa,-26.1392,28.2460
